Actual X,Actual Y,Estimated X,Estimated Y
-544.8105860949302,168.13238786563758,-534.5554242082686,160.52878502112313
-535.6519496749808,173.42683860661606,-532.3687814360613,161.94856897509854
-526.0167194842137,178.59339663489163,-519.0379333988114,171.57555313045998
-516.3361775340238,183.67285979303196,-534.5202800734262,190.7246218201763
-506.6412417134493,188.72380583443285,-515.8256976620065,185.51272641501367
-496.94289792493817,193.76813429910186,-507.1301635313338,202.42751120581417
-487.2422934743513,198.80880976679956,-483.3120233996987,201.49652657362017
-477.8652174409267,203.6815306739901,-473.8861223963128,206.7400159765349
-468.1645025795801,208.7215021676739,-471.27129688180247,214.02637520342793
-458.463644506115,213.76241283152316,-464.42224491797276,223.82418121714642
-448.7633120779423,218.80330249568266,-468.2376340306851,258.59829047555536
-439.0623657614579,223.84282694664776,-434.58135052503377,220.02405228800967
-429.3624642034228,228.88507334489628,-442.8170966254859,242.46704265569113
-419.9849307462359,233.7563134360299,-427.6382698220849,236.31821617838855
-410.28439784168177,238.7967069869869,-411.2943135901131,243.04911182194073
-400.58479700465654,243.8386067069665,-412.72106729351356,263.9951645047318
-390.88321765996284,248.87705814783627,-398.1357439637273,244.4297422838858
-381.18387451942306,253.92056539192527,-399.8143250971115,296.38514579059773
-371.4836685662676,258.962163219316,-413.92606635465415,361.36576172241615
-362.10538004755097,263.83519416671066,-364.82723903382004,277.7084355442562
-352.4068947001755,268.88119510122436,-348.520658315306,258.2019040992988
-342.70615296498823,273.9231529340813,-344.4918542049995,253.2372940106719
-333.00507421382775,278.9678731309054,-351.6486367569125,365.16402914387686
-323.3059500383483,284.0126432774198,-319.3417674878154,282.47915169821005
-313.6048437529387,289.0536376847353,-317.48108032993326,280.10501571425715
-303.90398629858305,294.0978786915697,-304.1519186777833,301.79763108865933
-294.5266595050411,298.9706397691498,-291.5292902863479,335.62413654625334
-284.825211980545,304.0099569830634,-293.9315241041755,795.1932946364652
-275.1235070212697,309.0501868260454,-282.03841332282167,418.7861587481049
-265.4219055448574,314.0887868944553,-259.1653356408616,302.7594567481719
-255.720252885032,319.1275414184774,-260.1169453777778,326.03628164839387
-246.0176940596027,324.16592361406754,-248.91786672571016,324.4845082582749
-236.64009262597423,329.03873861665403,-240.42114160617137,304.18522458680434
-226.93827579309817,334.0784396038613,-207.17761492831596,523.5525119810522
-217.2359327741752,339.11897177327893,-214.69514955064906,358.81637928743004
-207.5359835070227,344.1625143722676,-201.06366418674912,417.6913271064333
-197.83398854917994,349.2023636394433,-202.8875470309075,328.9059369148821
-188.13260565504208,354.2457157284187,-189.3042675705636,333.1144245953097
-178.75555688910703,359.1194086426855,-173.6810491114485,360.198455774913
-169.05315773888557,364.1572583944096,-158.57034679119906,395.5368418985706
-159.3522641417469,369.19945373993284,-111.05460167718762,482.39934958723194
-149.6499190517715,374.2361935239648,-148.00750698118497,372.80175897329406
-139.94709329723818,379.27226913736513,-123.15713179181208,424.08832713393815
-130.24533054548255,384.31031421999575,-116.08032674820777,404.07116069313065
-120.54119893967807,389.3434105684556,-117.76638316152231,386.0804819760118
-111.61113953333398,389.48153233373057,-112.12801599556694,380.5059915037386
-105.20607381963023,380.9820317277674,-91.90102183378094,419.85481323667227
-99.43762322411071,371.69062667439863,-87.23976364468422,389.9967169402782
-93.87162765978319,362.27965570657557,-89.67252889364038,353.4599728958055
-88.35214953479996,352.84289757173764,-85.67144188272547,357.3633363293222
